2018-02-12 01:35:18,299 [DEBUG] __main__: Iter 62, turn UNI, randomaction: rpln
2018-02-12 01:35:18,300 [DEBUG] __main__: Iter 62, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,300 [DEBUG] __main__: Iter 63, turn UNI, randomaction: plrn
2018-02-12 01:35:18,300 [DEBUG] __main__: Iter 63, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,300 [DEBUG] __main__: Iter 64, turn UNI, randomaction: rdln
2018-02-12 01:35:18,301 [DEBUG] __main__: Iter 64, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,301 [DEBUG] __main__: Iter 65, turn UNI, randomaction: lprn
2018-02-12 01:35:18,301 [DEBUG] __main__: Iter 65, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,301 [DEBUG] __main__: Iter 66, turn UNI, randomaction: pupn
2018-02-12 01:35:18,302 [DEBUG] __main__: Iter 66, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,302 [DEBUG] __main__: Iter 67, turn UNI, randomaction: dppn
2018-02-12 01:35:18,302 [DEBUG] __main__: Iter 67, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,302 [DEBUG] __main__: Iter 68, turn UNI, randomaction: plln
2018-02-12 01:35:18,303 [DEBUG] __main__: Iter 68, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,303 [DEBUG] __main__: Iter 69, turn UNI, randomaction: rppn
2018-02-12 01:35:18,303 [DEBUG] __main__: Iter 69, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,303 [DEBUG] __main__: Iter 70, turn UNI, randomaction: dlrn
2018-02-12 01:35:18,303 [DEBUG] __main__: Iter 70, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,304 [DEBUG] __main__: Iter 71, turn UNI, randomaction: dprn
2018-02-12 01:35:18,304 [DEBUG] __main__: Iter 71, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,304 [DEBUG] __main__: Iter 72, turn UNI, randomaction: puln
2018-02-12 01:35:18,304 [DEBUG] __main__: Iter 72, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,305 [DEBUG] __main__: Iter 73, turn UNI, randomaction: duln
2018-02-12 01:35:18,305 [DEBUG] __main__: Iter 73, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,305 [DEBUG] __main__: Iter 74, turn UNI, randomaction: rdln
2018-02-12 01:35:18,305 [DEBUG] __main__: Iter 74, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,306 [DEBUG] __main__: Iter 75, turn UNI, randomaction: purn
2018-02-12 01:35:18,306 [DEBUG] __main__: Iter 75, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,306 [DEBUG] __main__: Iter 76, turn UNI, randomaction: ldrn
2018-02-12 01:35:18,307 [DEBUG] __main__: Iter 76, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,307 [DEBUG] __main__: Iter 77, turn UNI, randomaction: pppn
2018-02-12 01:35:18,307 [DEBUG] __main__: Iter 77, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,307 [DEBUG] __main__: Iter 78, turn UNI, randomaction: ddpn
2018-02-12 01:35:18,307 [DEBUG] __main__: Iter 78, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,308 [DEBUG] __main__: Iter 79, turn UNI, randomaction: ldpn
2018-02-12 01:35:18,308 [DEBUG] __main__: Iter 79, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,308 [DEBUG] __main__: Iter 80, turn UNI, randomaction: purn
2018-02-12 01:35:18,308 [DEBUG] __main__: Iter 80, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,309 [DEBUG] __main__: Iter 81, turn UNI, randomaction: pdpn
2018-02-12 01:35:18,309 [DEBUG] __main__: Iter 81, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,309 [DEBUG] __main__: Iter 82, turn UNI, randomaction: durn
2018-02-12 01:35:18,309 [DEBUG] __main__: Iter 82, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,310 [DEBUG] __main__: Iter 83, turn UNI, randomaction: rlln
2018-02-12 01:35:18,310 [DEBUG] __main__: Iter 83, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,310 [DEBUG] __main__: Iter 84, turn UNI, randomaction: ldpn
2018-02-12 01:35:18,310 [DEBUG] __main__: Iter 84, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,311 [DEBUG] __main__: Iter 85, turn UNI, randomaction: rupn
2018-02-12 01:35:18,311 [DEBUG] __main__: Iter 85, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,311 [DEBUG] __main__: Iter 86, turn UNI, randomaction: plrn
2018-02-12 01:35:18,311 [DEBUG] __main__: Iter 86, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,311 [DEBUG] __main__: Iter 87, turn UNI, randomaction: dupn
2018-02-12 01:35:18,312 [DEBUG] __main__: Iter 87, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,312 [DEBUG] __main__: Iter 88, turn UNI, randomaction: ddln
2018-02-12 01:35:18,312 [DEBUG] __main__: Iter 88, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,312 [DEBUG] __main__: Iter 89, turn UNI, randomaction: dppn
2018-02-12 01:35:18,313 [DEBUG] __main__: Iter 89, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,313 [DEBUG] __main__: Iter 90, turn UNI, randomaction: dpln
2018-02-12 01:35:18,313 [DEBUG] __main__: Iter 90, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,313 [DEBUG] __main__: Iter 91, turn UNI, randomaction: plln
2018-02-12 01:35:18,314 [DEBUG] __main__: Iter 91, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,314 [DEBUG] __main__: Iter 92, turn UNI, randomaction: rpln
2018-02-12 01:35:18,314 [DEBUG] __main__: Iter 92, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,314 [DEBUG] __main__: Iter 93, turn UNI, randomaction: rupn
2018-02-12 01:35:18,314 [DEBUG] __main__: Iter 93, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,315 [DEBUG] __main__: Iter 94, turn UNI, randomaction: luln
2018-02-12 01:35:18,315 [DEBUG] __main__: Iter 94, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,315 [DEBUG] __main__: Iter 95, turn UNI, randomaction: ruln
2018-02-12 01:35:18,315 [DEBUG] __main__: Iter 95, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,316 [DEBUG] __main__: Iter 96, turn UNI, randomaction: llrn
2018-02-12 01:35:18,316 [DEBUG] __main__: Iter 96, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,316 [DEBUG] __main__: Iter 97, turn UNI, randomaction: rdln
2018-02-12 01:35:18,316 [DEBUG] __main__: Iter 97, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,317 [DEBUG] __main__: Iter 98, turn UNI, randomaction: ldln
2018-02-12 01:35:18,317 [DEBUG] __main__: Iter 98, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,317 [DEBUG] __main__: Iter 99, turn UNI, randomaction: dupn
2018-02-12 01:35:18,317 [DEBUG] __main__: Iter 99, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,317 [DEBUG] __main__: PASS: Test 2 passed. The random action generator works for both turns.
2018-02-12 01:35:18,320 [DEBUG] __main__: PASS: After acting freewill, new state is [ 4 11 12 13 17 23 24 38 44 45 46 48 51 52 55 56 57 58 63 64 66 72 74 76 78
 82] with reward 0
2018-02-12 01:35:18,320 [DEBUG] root: Random action generated is nnnr
2018-02-12 01:35:18,320 [DEBUG] root: Random action's index is 5
