2018-02-12 01:49:04,286 [DEBUG] __main__: Iter 59, turn UNI, randomaction: dlun
2018-02-12 01:49:04,287 [DEBUG] __main__: Iter 59, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,287 [DEBUG] __main__: Iter 60, turn UNI, randomaction: lprn
2018-02-12 01:49:04,287 [DEBUG] __main__: Iter 60, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,287 [DEBUG] __main__: Iter 61, turn UNI, randomaction: drrn
2018-02-12 01:49:04,288 [DEBUG] __main__: Iter 61, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,288 [DEBUG] __main__: Iter 62, turn UNI, randomaction: lurn
2018-02-12 01:49:04,288 [DEBUG] __main__: Iter 62, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,288 [DEBUG] __main__: Iter 63, turn UNI, randomaction: luun
2018-02-12 01:49:04,288 [DEBUG] __main__: Iter 63, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,289 [DEBUG] __main__: Iter 64, turn UNI, randomaction: lrrn
2018-02-12 01:49:04,289 [DEBUG] __main__: Iter 64, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,289 [DEBUG] __main__: Iter 65, turn UNI, randomaction: lurn
2018-02-12 01:49:04,289 [DEBUG] __main__: Iter 65, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,290 [DEBUG] __main__: Iter 66, turn UNI, randomaction: pupn
2018-02-12 01:49:04,290 [DEBUG] __main__: Iter 66, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,290 [DEBUG] __main__: Iter 67, turn UNI, randomaction: lrpn
2018-02-12 01:49:04,290 [DEBUG] __main__: Iter 67, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,291 [DEBUG] __main__: Iter 68, turn UNI, randomaction: dppn
2018-02-12 01:49:04,291 [DEBUG] __main__: Iter 68, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,291 [DEBUG] __main__: Iter 69, turn UNI, randomaction: lprn
2018-02-12 01:49:04,291 [DEBUG] __main__: Iter 69, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,292 [DEBUG] __main__: Iter 70, turn UNI, randomaction: llrn
2018-02-12 01:49:04,292 [DEBUG] __main__: Iter 70, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,292 [DEBUG] __main__: Iter 71, turn UNI, randomaction: lpun
2018-02-12 01:49:04,292 [DEBUG] __main__: Iter 71, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,292 [DEBUG] __main__: Iter 72, turn UNI, randomaction: pupn
2018-02-12 01:49:04,293 [DEBUG] __main__: Iter 72, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,293 [DEBUG] __main__: Iter 73, turn UNI, randomaction: pupn
2018-02-12 01:49:04,293 [DEBUG] __main__: Iter 73, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,293 [DEBUG] __main__: Iter 74, turn UNI, randomaction: duun
2018-02-12 01:49:04,294 [DEBUG] __main__: Iter 74, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,294 [DEBUG] __main__: Iter 75, turn UNI, randomaction: dupn
2018-02-12 01:49:04,294 [DEBUG] __main__: Iter 75, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,294 [DEBUG] __main__: Iter 76, turn UNI, randomaction: dlun
2018-02-12 01:49:04,294 [DEBUG] __main__: Iter 76, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,295 [DEBUG] __main__: Iter 77, turn UNI, randomaction: lupn
2018-02-12 01:49:04,295 [DEBUG] __main__: Iter 77, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,295 [DEBUG] __main__: Iter 78, turn UNI, randomaction: plrn
2018-02-12 01:49:04,295 [DEBUG] __main__: Iter 78, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,296 [DEBUG] __main__: Iter 79, turn UNI, randomaction: llun
2018-02-12 01:49:04,296 [DEBUG] __main__: Iter 79, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,296 [DEBUG] __main__: Iter 80, turn UNI, randomaction: prrn
2018-02-12 01:49:04,296 [DEBUG] __main__: Iter 80, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,297 [DEBUG] __main__: Iter 81, turn UNI, randomaction: lrpn
2018-02-12 01:49:04,297 [DEBUG] __main__: Iter 81, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,297 [DEBUG] __main__: Iter 82, turn UNI, randomaction: llrn
2018-02-12 01:49:04,298 [DEBUG] __main__: Iter 82, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,298 [DEBUG] __main__: Iter 83, turn UNI, randomaction: ppun
2018-02-12 01:49:04,298 [DEBUG] __main__: Iter 83, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,298 [DEBUG] __main__: Iter 84, turn UNI, randomaction: luun
2018-02-12 01:49:04,299 [DEBUG] __main__: Iter 84, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,299 [DEBUG] __main__: Iter 85, turn UNI, randomaction: lupn
2018-02-12 01:49:04,299 [DEBUG] __main__: Iter 85, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,299 [DEBUG] __main__: Iter 86, turn UNI, randomaction: lpun
2018-02-12 01:49:04,299 [DEBUG] __main__: Iter 86, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,300 [DEBUG] __main__: Iter 87, turn UNI, randomaction: prrn
2018-02-12 01:49:04,300 [DEBUG] __main__: Iter 87, turn AIG, randomaction: nnnu
