2018-02-12 01:33:56,023 [DEBUG] __main__: Iter 72, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,023 [DEBUG] __main__: Iter 73, turn UNI, randomaction: dddn
2018-02-12 01:33:56,023 [DEBUG] __main__: Iter 73, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,023 [DEBUG] __main__: Iter 74, turn UNI, randomaction: dupn
2018-02-12 01:33:56,024 [DEBUG] __main__: Iter 74, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,024 [DEBUG] __main__: Iter 75, turn UNI, randomaction: rprn
2018-02-12 01:33:56,024 [DEBUG] __main__: Iter 75, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,024 [DEBUG] __main__: Iter 76, turn UNI, randomaction: rppn
2018-02-12 01:33:56,025 [DEBUG] __main__: Iter 76, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,025 [DEBUG] __main__: Iter 77, turn UNI, randomaction: rppn
2018-02-12 01:33:56,025 [DEBUG] __main__: Iter 77, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,025 [DEBUG] __main__: Iter 78, turn UNI, randomaction: ldrn
2018-02-12 01:33:56,026 [DEBUG] __main__: Iter 78, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,026 [DEBUG] __main__: Iter 79, turn UNI, randomaction: durn
2018-02-12 01:33:56,026 [DEBUG] __main__: Iter 79, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,026 [DEBUG] __main__: Iter 80, turn UNI, randomaction: pprn
2018-02-12 01:33:56,027 [DEBUG] __main__: Iter 80, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,027 [DEBUG] __main__: Iter 81, turn UNI, randomaction: ddpn
2018-02-12 01:33:56,027 [DEBUG] __main__: Iter 81, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,027 [DEBUG] __main__: Iter 82, turn UNI, randomaction: lupn
2018-02-12 01:33:56,028 [DEBUG] __main__: Iter 82, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,028 [DEBUG] __main__: Iter 83, turn UNI, randomaction: ddrn
2018-02-12 01:33:56,028 [DEBUG] __main__: Iter 83, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,028 [DEBUG] __main__: Iter 84, turn UNI, randomaction: pppn
2018-02-12 01:33:56,029 [DEBUG] __main__: Iter 84, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,029 [DEBUG] __main__: Iter 85, turn UNI, randomaction: rdrn
2018-02-12 01:33:56,029 [DEBUG] __main__: Iter 85, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,029 [DEBUG] __main__: Iter 86, turn UNI, randomaction: ludn
2018-02-12 01:33:56,030 [DEBUG] __main__: Iter 86, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,030 [DEBUG] __main__: Iter 87, turn UNI, randomaction: pprn
2018-02-12 01:33:56,030 [DEBUG] __main__: Iter 87, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,030 [DEBUG] __main__: Iter 88, turn UNI, randomaction: rpdn
2018-02-12 01:33:56,031 [DEBUG] __main__: Iter 88, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,031 [DEBUG] __main__: Iter 89, turn UNI, randomaction: ludn
2018-02-12 01:33:56,031 [DEBUG] __main__: Iter 89, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,031 [DEBUG] __main__: Iter 90, turn UNI, randomaction: lppn
2018-02-12 01:33:56,032 [DEBUG] __main__: Iter 90, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,032 [DEBUG] __main__: Iter 91, turn UNI, randomaction: purn
2018-02-12 01:33:56,032 [DEBUG] __main__: Iter 91, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,032 [DEBUG] __main__: Iter 92, turn UNI, randomaction: pupn
2018-02-12 01:33:56,033 [DEBUG] __main__: Iter 92, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,033 [DEBUG] __main__: Iter 93, turn UNI, randomaction: rupn
2018-02-12 01:33:56,033 [DEBUG] __main__: Iter 93, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,033 [DEBUG] __main__: Iter 94, turn UNI, randomaction: lurn
2018-02-12 01:33:56,034 [DEBUG] __main__: Iter 94, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,034 [DEBUG] __main__: Iter 95, turn UNI, randomaction: rprn
2018-02-12 01:33:56,034 [DEBUG] __main__: Iter 95, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,034 [DEBUG] __main__: Iter 96, turn UNI, randomaction: rdpn
2018-02-12 01:33:56,034 [DEBUG] __main__: Iter 96, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,035 [DEBUG] __main__: Iter 97, turn UNI, randomaction: dppn
2018-02-12 01:33:56,035 [DEBUG] __main__: Iter 97, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,035 [DEBUG] __main__: Iter 98, turn UNI, randomaction: rdpn
2018-02-12 01:33:56,035 [DEBUG] __main__: Iter 98, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,036 [DEBUG] __main__: Iter 99, turn UNI, randomaction: lupn
2018-02-12 01:33:56,036 [DEBUG] __main__: Iter 99, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,036 [DEBUG] __main__: PASS: Test 2 passed. The random action generator works for both turns.
2018-02-12 01:33:56,038 [DEBUG] __main__: PASS: After acting freewill, new state is [11 12 15 16 18 23 26 27 28 31 35 42 45 48 53 56 58 59 62 63 64 66 72 74 83
 85] with reward 0
2018-02-12 01:33:56,039 [DEBUG] root: Random action generated is nnnp
